Sentence,rank
"""In certain circumstances the work model may change to accommodate business needs""
",1
"""Guideline Group (traded on the Tel Aviv stock exchange) is a leading, well-established, company in Israel for providing technological solutions in the worlds of FinTech, Invest Tech, Legal Tec and Business Tech (BT)""
",1
"""We are looking for a highly motivated and talented Full Stack Engineer with excellent technical and interpersonal skills to join our capital market development team""
",2
"""The ideal candidate is a creative problem solver who will work in coordination with cross-functional teams to design, develop, and maintain our next generation websites and web tools""
",1
"""You must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects""
",1
"""7+ years as a Full stack software Developer,""
",1
"""Hands-on experience with: PHP, REST API, TCP/IP""
",1
"""NET C#, Multi-Threading, WIN32 API""
",1
"""Hands-on experience with: HTML, CSS, JavaScript""
",1
"""Great knowledge and hands-on experience with SQL, SQL Databases (MySQL, SQL Server)""
",1
"""Proven experience working on Windows, Linux""
",1
"""Proven experience with writing testable code (+ unit testing)""
",1
"""Experience and deep understanding of Agile and Lean product development methodologies""
",1
"""in computer science or an equivalent""
",1
"""Experience with Experience with WinForms\WPF""
",1
"""Our mission is to improve doctor–patient communication, patient knowledge, health literacy and ultimately, empowerment""
",1
"""We’re a startup with great company culture, we are constantly in touch with doctors, nurses and other professionals to create the best products and services we can""
",1
"""We are looking for a Fullstack Developer responsible for managing the interchange of data between the server and the users""
",1
"""You will also design the overall architecture of the web application and evolve it to ensure maximum performance and stability""
",1
"""- Design of the overall architecture of the web application""
",1
"""- Implementation of a robust set of services and APIs to power the web application""
",1
"""- Building reusable code and libraries for future use""
",1
"""- Optimization of the application for maximum speed and scalability""
",1
"""- Implementation of security and data protection""
",1
"""- Integration of the back-end aspects of the web application""
",1
"""- Proficient knowledge of Node JS""
",1
"""- Understanding differences between multiple delivery platforms (such as mobile vs, desktop), and optimizing output to match the specific platform""
",1
"""- Good understanding of server-side templating language - EJS""
",1
"""- Creating database schemas that represent and support business processes""
",1
"""- Data migration, transformation, and scripting""
",1
"""- Management of hosting environment, including database administration and scaling an application to support load changes""
",1
"""- Understanding of fundamental design principles behind a scalable application""
",1
"""- Knowledge of Google Cloud Platform as well as Firebase""
",1
"""- Proficient understanding of Git (as well as Github)""
",1
"""- Ability to implement automated testing platforms and unit tests""
",1
"""- Knowledge of healthcare data protection standards""
",1
"""Certified as a Great Place to Work®, DoorLoop is the easiest property management software used by landlords and property managers in over 100 countries worldwide""
",1
"""As a SaaS company with $30M in funding, 3 offices worldwide (Miami, London, Israel), and hundreds of thousands of units being managed, we are one of the fastest growing prop-tech companies with over 300% growth this year!""
",1
"""We know what it takes to build a world-class company – and it all starts with a world-class team""
",1
"""If you want to work with a fast growing tech startup that values transparency, feedback, and growth, DoorLoop is for you""
",1
"""We are looking for a super talented Senior Full Stack developer Team Leader to join our team in our office in Tel-Aviv, Israel""
",1
"""Hybrid work is also offered""
",1
"""We have a very exciting roadmap of features planned, and are looking for someone who thrives in an innovative, fast-paced environment where their voice is heard when building new features or using new components""
",1
"""The pay is based on your experience and level of expertise""
",1
"""We are paying top of market rates plus benefits""
",1
"""People that do best in this role have these personality traits and work habits:""
",1
"""Coachable and trainable, open to learning and listening from your peers and those around you""
",1
"""Willing to adapt and learn as the company grows and the technology changes""
",1
"""7+ years of development experience""
",1
"""2+ years working with advanced React JS platforms""
",1
"""2+ years working with Node""
",1
"""2+ years working with TypeScript""
",1
"""2+ years working with MongoDB""
",1
"""Expert in working with scrum, keeping track of your sprints in Jira, and completing everything on time""
",1
"""Experience building dev teams and leading and managing projects from scratch""
",1
"""Worked for a SaaS startup before where you learned to be agile and move fast""
",1
"""Built your own application from scratch (or did majority of the work) and can show a working concept, or anything in production""
",1
"""Bonus if you have 2+ years of experience working with node JS, mongoDB, TypeScript, or the MERN stack""
",1
"""Unlimited paid time off with unlimited personal, vacation, and sick days""
",1
"""Annual bonus based on your performance over the last 12 months""
",1
"""Free daily lunch and a micro kitchen with unlimited healthy snacks in our office prepared by Cibus""
",1
"""Annual company retreat in the US with our Miami team (all expenses paid)""
",1
"""Work from our Miami or Israel office as much as you want, or work a few days from home on a hybrid schedule""
",1
"""Complimentary training in our Miami office for up to one month""
",1
"""Career development with unlimited access to Udemy's courses and other growth opportunities""
",1
"""‍World class training program where you're paired with an onboarding buddy to ensure your success""
",1
"""Monthly investment classes from our co-founders on how to invest your money in a diversified portfolio of real estate, stocks, crypto, NFT, & more""
",1
"""Work in Tel Aviv, the most vibrant city worldwide with great restaurants, activities, and walking distance from the beach""
",1
"""No micromanagement - We believe responsible people thrive on freedom""
",1
"""Great equipment - Ergonomic chairs, Mac or PC laptops, dual monitors, and more""
",1
"""No rules - No dress code, policies, or handbooks""
",1
"""Just do great work & have fun!""
",1
"""We offer tons of opportunities to train, mentor, and help others if that's what gets you fired up! We promise we won't waste your time in long, boring, and unnecessary meetings""
",1
"""There are no politics here, no long approval processes, and no micromanagement""
",1
"""If you're looking to work with a small team where you can make an impact and see your code deployed to thousands of customers every month, then DoorLoop is for you""
",1
"""You will be working directly with two of our co-founders (our CEO Ori Tamuz and CTO Itay Gardi) so if you want to get something done, let's make it happen!""
",1
"""You can learn more about us from our careers page""
",1
"""We look forward to hearing from you soon!""
",1
"""We are looking for a savvy Full Stack Developer with a strong sense of ownership and a knowledge of the Javascript , php ,python""
",2
"""You are a creative thinker who loves the challenge of solving complex problems, passionate about top-notch technology, self-motivated through curiosity, and ready to grow within our friendly and highly collaborative team in a pragmatic and solutions-focused environment""
",2
"""We're an ambitious team of researchers, analysts, builders, and entrepreneurs with many years of experience in the Cyber space and are passionate about digital assets""
",1
"""By adding new products to our portfolio""
",1
"""What you will be doing:""
",1
"""Ensure product reliability, scalability, and security""
",1
"""Optimizing existing and new logic to be sure that we can handle our rapidly growing user base""
",1
"""Designing & re-designing DB structure to support new features and handle more load""
",1
"""Analyzing the root cause of issues reported by the support team and implementing solutions""
",1
"""Coming up with ideas for internal tools that could improve our day to day""
",1
"""Participating in the product roadmap""
",1
"""+3 years of experience with Node""
",1
"""Writing well-organized, efficient, and easily testable code""
",1
"""You are comfortable within agile remote-first organizations that work in cross-disciplinary teams""
",1
"""Genuine interest and some knowledge about the Cyber world""
",1
"""Bonus if you have any:""
",1
"""Being aware of and using different design patterns""
",1
"""A modern technical stack with an emphasis on quality""
",1
"""Be one of the main contributors to building a company with its unique culture in the cutting-edge tech space""
",1
"""We are working on a kick-ass, meaningful benefits package, something truly useful and empowering - you will help us figure out what we'd need to stand out as the workplace of the future, we are open to any ideas""
",1
"""Are you ready to work on massive web projects and features that are being used by millions across the world? If yes, then you’ve come to the right place""
",1
"""As a Frontend Engineer at Fiverr, you'll be responsible for implementing core product features, building client infrastructure, and finding innovative solutions while working with cutting-edge technologies (React, Redux, ES6, Webpack, HTML5, and CSS3)""
",1
"""We're looking for top talent that's ready to level up their skills in an exciting and fast-paced environment""
",1
"""Our work model is hybrid, combining remote and on-site work""
",1
"""This allows us to get things done when and where we are most productive""
",1
"""WHAT AM I GOING TO DO?""
",1
"""Build packages, modules and reusable components that will be used across our codebase""
",1
"""Design, develop, test and deploy high traffic features, with an emphasis on scalability and performance""
",1
"""Be in charge of your team's technical domain - from design to production""
",1
"""3+ years of Javascript experience, working knowledge of asynchronous programming and ES6 concepts""
",1
"""3+ years of HTML/CSS experience, familiarity with cross browser compatibility, accessibility and SEO best practices""
",1
"""Experience with browser APIs & front end performance optimizations""
",1
"""At Fiverr, we’re not about checklists""
",1
"""If you don’t meet 100% of the requirements for this role but still feel passionate about the position and think you have the right skills and qualifications to excel at it, we want to hear from you""
",1
"""At Fiverr, we prioritize diversity""
",1
"""We celebrate difference and embed it into every aspect of our workplace and product, as well as our community""
",1
"""Fiverr is proud and committed to providing equal opportunity employment to all individuals regardless of race, color, religion, sex, sexual orientation, citizenship, national origin, disability, Veteran status, or any other characteristic protected by law""
",1
"""In addition, Fiverr will provide accommodation to individuals with disabilities or a special need""
",1
"""Certified as a Great Place to Work®, DoorLoop is the easiest property management software used by landlords and property managers in over 100 countries worldwide""
",1
"""As a SaaS company with $30M in funding, 3 offices worldwide (Miami, London, Israel), and hundreds of thousands of units being managed, we are one of the fastest growing prop-tech companies with over 300% growth this year!""
",1
"""We know what it takes to build a world-class company – and it all starts with a world-class team""
",1
"""If you want to work with a fast growing tech startup that values transparency, feedback, and growth, DoorLoop is for you""
",1
"""We are looking for a super talented Senior React Full Stack JavaScript developer to join our team in our office in Tel-Aviv, Israel""
",1
"""Hybrid work is also offered""
",1
"""We have a very exciting roadmap of features planned, and are looking for someone who thrives in an innovative, fast-paced environment where their voice is heard when building new features or using new components""
",1
"""The pay is based on your experience and level of expertise""
",1
"""We are paying top of market rates plus benefits""
",1
"""Help build new features into the existing product, and optimize existing pages""
",1
"""Help discover, diagnose, and fix any bugs or issues""
",1
"""Work with the design team to ensure everything matches our brand, is responsive, and works perfectly""
",1
"""Respond and troubleshoot any downtime events and create systems and procedures to prevent them from happening""
",1
"""Build automated QA tests to run before deploying to production""
",1
"""Brainstorm new ideas to enhance the software in any way""
",1
"""Help lead projects, build our dev team, and mentor junior developers""
",1
"""People that do best in this role have these personality traits and work habits:""
",1
"""Coachable and trainable, open to learning and listening from your peers and those around you""
",1
"""Willing to adapt and learn as the company grows and the technology changes""
",1
"""5+ years of development experience""
",1
"""2+ years working with advanced React JS platforms""
",1
"""Expert in working with scrum, keeping track of your sprints in Jira, and completing everything on time""
",1
"""Experience building dev teams and leading and managing projects from scratch""
",1
"""Worked for a SaaS startup before where you learned to be agile and move fast""
",1
"""Built your own application from scratch (or did the majority of the work) and can show a working concept, or anything in production""
",1
"""Bonus if you have 2+ years of experience working with node JS, mongo DB, TypeScript, or the MERN stack""
",1
"""Unlimited paid time off with unlimited personal, vacation, and sick days""
",1
"""Annual bonus based on your performance over the last 12 months""
",1
"""Free daily lunch and a micro kitchen with unlimited healthy snacks in our office prepared by Cibus""
",1
"""Annual company retreat in the US with our Miami team (all expenses paid)""
",1
"""Work from our Miami or Israel office as much as you want, or work a few days from home on a hybrid schedule""
",1
"""Complimentary training in our Miami office for up to one month""
",1
"""Career development with unlimited access to Udemy's courses and other growth opportunities""
",1
"""‍World-class training program where you're paired with an onboarding buddy to ensure your success""
",1
"""Monthly investment classes from our co-founders on how to invest your money in a diversified portfolio of real estate, stocks, crypto, NFT, & more""
",1
"""Work in Tel Aviv, the most vibrant city worldwide with great restaurants, activities, and walking distance from the beach""
",1
"""No micromanagement - We believe responsible people thrive on freedom""
",1
"""Great equipment - Ergonomic chairs, Mac or PC laptops, dual monitors, and more""
",1
"""No rules - No dress code, policies, or handbooks""
",1
"""Just do great work & have fun!""
",1
"""We offer tons of opportunities to train, mentor, and help others if that's what gets you fired up!""
",1
"""We promise we won't waste your time in long, boring, and unnecessary meetings""
",1
"""There are no politics here, no long approval processes, and no micromanagement""
",1
"""If you're looking to work with a small team where you can make an impact and see your code deployed to thousands of customers every month, then DoorLoop is for you""
",1
"""You will be working directly with two of our co-founders (our CEO Ori Tamuz and CTO Itay Gardi) so if you want to get something done, let's make it happen!""
",1
"""You can learn more about us from our careers page""
",1
"""We look forward to hearing from you soon!""
",1
"""*** IMPORTANT*** Please do not apply with LinkedIn""
",1
"""Elbit is seeking a R&D Fullstack developer to join the R&D development team to improve the End-2-End product features and align the R&D team to the company growth to perform and achieve the development optimization targets and goals of cyber processes""
",1
"""The role will emphasize on developing IT/Communication systems over the lifecycle from product spec to design, development, testing and deployment following the Agile methodology with TDD and BDD implementation to allow continuous deployment based on Typescript coding for frontend and backend development""
",1
"""We are looking for a candidate with the passion to learn new skills and to establish the backend R&D team""
",1
"""Team player with coding hands-on ability that can work with other team members to accomplish various jobs, and to thrive in a collaborative and fast-paced R&D and lab/testing environment""
",1
"""Establish from scratch the backend and frontend foundations of R&D based on Typecript/ Angular/ Node""
",1
"""Design and implementation of the overall web architecture""
",1
"""Design and deployment of our database""
",1
"""Design and construction of our REST API""
",1
"""Delivering a complete desktop front end application""
",1
"""Development of server-side logic, definition and maintenance of the central database, and ensuring high performance and responsiveness to requests from the front-end""
",1
"""Cooperating with the back-end in the process of building the RESTful API""
",1
"""Responsible for integrating the front-end elements into the application""
",1
"""Master/Bachelor’s Degree in Computer Engineering or other""
",1
"""Developer with proven experience of at least 3 years""
",1
"""At Least Three Years’ Experience With""
",1
"""Being up on latest practices is a must, e""
",1
""", HTML5, CSS3, and ECMAScript 6 (minimum)""
",1
"""Strong proficiency with Typescript/JavaScript (not scripting or automation, but pure frontend/backend with design patterns)""
",1
"""js and frameworks available for it (Express, NestJS, webpack""
",1
"""MongoDB , SQL Server design and management, including being up on the latest practices and associated versions""
",1
"""Creating database schemas that represent and support business processes""
",1
"""Understanding the nature of asynchronous programming and its quirks and workarounds""
",1
"""Proficient in a Linux/Windows environment""
",1
"""Knowledge and understanding of End-2-End systems including, Jira, Git, Jenkins, Docker, DevOps""
",1
"""Ability to write high-performance, maintainable, reusable code""
",1
"""Advantage - Knowledge and understanding of Cloud systems like AWS""
",1
"""Advantage - Microservice systems and infrastructure""
",1
"""Advantage - Creating configuration, build, and test scripts for Continuous Integration environments""
",1
"""Advantage - Elastic, RabbitMQ, Redis""
",1
"""Advantage – Experience with Wireshark sniffer""
",1
"""Cybereason is the champion of today’s cyber defenders, providing operation-centric attack protection""
",1
"""Our Defence Platform moves beyond endless alerting to instead recognize, expose, and end malicious operations before they take hold""
",1
"""Cybereason is an international company that defends the world's top brands in over 50 countries""
",1
"""Our Israeli site is located in Tel Aviv at Alon 1 tower, next to Hashalom train station""
",1
"""“Best high tech companies to work for” (by Dun’s100)""
",1
"""“Top companies leading women representation” (by Power in Diversity)""
",1
"""You’ll be part of our Security Platform group""
",1
"""The Security Platform division is focused on building the detection, investigation, security and management platforms as the backbone for Cybereason products""
",1
"""Utilizing cutting edge technology for big data, stream processing and graph analysis we build scalable multi tenant solutions based on cloud native services""
",1
"""In this position you will""
",1
"""Design, develop and deploy big-data applications with a focus on high availability, low latency, and scalability""
",1
"""Promote best practices coding, code complete standards, OO programing & design patterns""
",1
"""Collaborating with our architects, product owners and data scientists to capture, format and prepare data for machine learning""
",1
"""Build and maintain a robust cost effective infrastructure for real time processing of millions of events per second""
",1
"""Work with experienced and highly talented engineers in a CI/CD environment with cutting edge technologies""
",2
"""Take full responsibility and ownership from conception, development, quality to post-deployment""
",1
"""Work in an environment that supports your individual growth""
",1
"""Computer Science/Engineering or equivalent knowledge""
",1
"""3+ years of experience coding in Java""
",1
"""Proven experience in designing and building distributed and scalable systems over micro-services in K8S""
",1
"""Experience in relational databases - MySQL, Postgres, Big-Query etc""
",1
"""Deep understanding of system design, data structures, and algorithms""
",1
"""Team player, accountable, dedicated and passionate""
",1
"""Experience with using queues and messaging systems - Kafka, PubSub ,SQS, RabbitMQ, Kafka etc""
",1
"""Experience in building deployment pipelines using Jenkins and kubernetes""
",1
"""Familiar with other cybersecurity solutions""
",1
"""Our culture and how we operate reflects in our shared values""
",1
"""Our #Defenders are individuals with diverse skill sets and backgrounds who are driven to innovate and scale with our growing organization""
",1
"""We are a team that strives to learn from each other, solve challenging problems, and work collaboratively toward our goal of reversing the adversary advantage""
",1
"""Win As One: The power of an individual is less than the power of a team""
",1
"""Ever Evolving: Change keeps us at the forefront, so we encourage it""
",1
"""Daring: To achieve the impossible, we must dare to be different""
",1
"""Obsessed with Customers: We believe gaining our customers’ trust is the most important part of what we do""
",1
"""Never Give Up: We are tenacious and resilient, and we never stop""
",1
"""UbU: We believe people can only unlock their full potential when they work somewhere that accepts who they are""
",1
"""If these values resonate with you and our vision excites you, join us today and help us end cyber attacks from the endpoint to everywhere! #Defenders""
",1
"""Don’t meet every single requirement? Studies have shown that women and people of color are less likely to apply to jobs unless they meet every single qualification""
",1
"""At Cybereason we are dedicated to building a diverse, inclusive, and authentic workplace (#uBu), so if you’re excited about this role but your past experience doesn’t align perfectly with every qualification in the job description, we encourage you to apply anyways""
",1
"""You may be just the right candidate for this or other roles""
",1
"""Avenue Code is the leading software consultancy focused on delivering end-to-end development solutions for digital transformation across every vertical""
",1
"""We’re privately held, profitable, and have been on a solid growth trajectory since day one""
",1
"""We care deeply about our clients, our partners, and our people""
",1
"""We prefer the word ‘partner’ over ‘vendor’, and our investment in professional relationships is a reflection of that philosophy""
",1
"""We pride ourselves on our technical acumen, our collaborative problem-solving ability, and the warm professionalism of our teams""
",1
"""We are looking for Java Engineers to join our team""
",1
"""The ideal candidate will have strong hands-on core Java and Java Web programming skills, excellent problem solving and design skills and ability to work collaboratively within different teams""
",2
"""The candidate should also demonstrate a history of on time delivery, excellent communication, and a positive get-it-done attitude""
",2
"""Ecommerce domain expertise and experience working in Agile driven development projects is a plus""
",1
"""• Studied Computer Science, Information Systems, Software Engineering or related courses;""
",1
"""• Experience with Java development (preferably version 8 or above);""
",1
"""• Knowledge of web development frameworks like Spring or J2EE;""
",1
"""• Strong knowledge of design patterns and object-oriented programming principles;""
",1
"""• Software modeling and design experience;""
",1
"""• Experience with ORM Java frameworks (preferably Hibernate);""
",1
"""• Experience with Microservices and Rest APIs;""
",1
"""• Experience in databases (relational or non relational) and domain in their query languages;""
",1
"""• Experience with code version control systems (preferably Git; SVN, CSV, etc);""
",1
"""• Strong knowledge of software testing strategies and experience with Java testing libraries (jUnit, TestNg, Mock frameworks, etc""
",1
"""• Experience with SOA implementation in Java (SOAP, REST, JMS, JAX / RS, JAX / WS)""
",1
"""Please note this posting is to advertise potential job opportunities""
",1
"""This exact role may not be open today, but could open in the near future""
",1
"""When you apply, a Cisco representative may contact you directly if a relevant position opens""
",1
"""You'll be joining our Back End Design team at Cisco Silicon One group , which is responsible for the entire BE development process RTL to GDS, leading development of high quality VLSI designs""
",1
"""Our BackEnd Engineers are dealing with all chip design aspect: Definition,""
",1
"""Physical Synthesis, Place and Route, Optimization, Timing closure, Design Floor Planning""
",1
"""We use the latest silicon technologies and processes to build largest scale and most complex devices at the edge of feasibility""
",1
"""You'll be joining our Cisco Silicon One team which is the center of Cisco’s SW and ASIC design""
",1
"""You'll be part of our group driving our game changing next generation network devices - Cisco Silicon One™""
",1
"""Our unique team works in a startup atmosphere inside a stable and leading corporate""
",1
"""Our design center is very unique - hosting all silicon HW and SW development disciplines inside one site""
",1
"""We are transforming the industry and building a new internet for the 5G era, providing a unified, programmable silicon architecture that is the foundation of all Cisco's future routing products""
",1
"""Our devices are designed to be universally adaptable across service providers and web-scale markets, designed for fixed and modular platforms""
",1
"""Our devices deliver high speed without sacrificing programmability, buffering, power efficiency, scale or feature flexibility""
",1
"""Cisco Silicon One™ is a revolutionary, ground-breaking technology for our customers and end users for decades to come! The Internet now has a new faster, better, safer engine!""
",1
"""Learn more about us right here:""
",1
"""VLSI Design Engineer with vast experience in Back End Design""
",1
"""Sc in EE from one of the top universities in Israel with GPA above 85""
",1
"""#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all""
",1
"""We embrace digital, and help our customers implement change in their digital businesses""
",1
"""Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company""
",1
"""We even invented an intuitive network that adapts, predicts, learns and protects""
",1
"""No other company can do what we do – you can’t put us in a box!""
",1
"""But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it""
",1
"""Day to day, we focus on the give and take""
",1
"""We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA""
",1
""") We take accountability, bold steps, and take difference to heart""
",1
"""Because without diversity of thought and a dedication to equality for all, there is no moving forward""
",1
"""So, you have colorful hair? Don’t care""
",1
"""Tattoos? Show off your ink""
",1
"""Like polka dots? That’s cool""
",1
"""Pop culture geek? Many of us are""
",1
"""Passion for technology and world changing? Be you, with us!""
",1
"""LivePerson (NASDAQ:LPSN) is a Conversational AI company creating digital experiences that are Curiously Human""
",1
"""Every person is unique, and our technology makes it possible for companies, including leading brands like HSBC, Orange, and GM Financial, to treat their audiences that way at scale""
",1
"""Nearly a billion conversational interactions are powered by our Conversational Cloud each month""
",1
"""You'll be successful at LivePerson if you are excited to build something from the ground up""
",1
"""You excel by finding daily opportunities to grow at the same pace as the technology we're building, and you build partnerships that improve our business""
",1
"""Likewise, you're someone who sees feedback as a chance to learn and grow and believe decisions powered by data are the norm""
",1
"""You care about the wellbeing of others and yourself""
",1
"""The Brand Experience team has an important role in the messaging and call management solution of LivePerson""
",1
"""We are currently seeking an experienced Fullstack Engineer for one of our innovative SCRUM engineering teams""
",1
"""The team is responsible for the contact center real-time operation management and the platform account administration processes""
",1
"""The team builds new features that contribute to the company's vision of automating the contact center leveraging Conversational AI and other automation processes""
",1
"""Design and Implement complex features in our Conversational Cloud Platform""
",1
"""Work closely with the other team members to design, build, test and release our new features""
",1
"""Drive the adoption of new and exciting technologies""
",1
"""Build, test, operate and maintain fullstack (front-end, back-end, integration, databases, queues etc) software solutions""
",1
"""Take part of software design, architecture discussion, and code reviews""
",1
"""Work closely with our product and design teams""
",1
"""Contribute to code standards, quality, and the introduction of new tools that help achieve the highest levels of excellence""
",1
"""3+ years of experience in developing Front End Web development, including native JavaScript, HTML and CSS""
",1
"""Experience in development of enterprise-level single-page applications""
",1
"""2+ years of experience in developing Backend microservices, using node""
",1
"""js or Java, proficient with database technologies both NoSql and rational, queue technologies such as kafka, streaming, caching and more""
",1
"""Has a can-do attitude and ability to see the bigger picture involving business aspects as well as operational excellence""
",1
"""Experience with a modern JavaScript framework, preferably VueJS""
",1
"""Good understanding of Agile methodologies - Advantage""
",1
"""Has an ability to work in a global organization with stakeholders - Advantage""
",1
"""Relevant academic background - Advantage""
",1
"""Time away: vacation, public holidays and care days""
",1
"""Financial: Pension, deferred pension and ESPP""
",1
"""Development: tuition reimbursement, native AI learning""
",1
"""Additional: WFH support, exclusive perks and discounts""
",1
"""Why you’ll love working here:""
",1
"""Your entrepreneurial spirit will be supported""
",1
"""We love team members who chase down their big ideas, become experts, help colleagues, and own their work""
",1
"""These four company values guide our continued, holistic growth as individuals, as teams, and as a global organization""
",1
"""And to further make our point, let's just say we're very proud to be on Fast Company's list of Most Innovative Companies and Newsweek's list of most-loved workplaces""
",1
"""At LivePerson, people from diverse backgrounds come together to make an impact and be their authentic selves""
",1
"""One way we share and connect is through our employee resource groups such as: Live In Color, LP Proud, and Women In Tech""
",1
"""We are proud to be an equal opportunity employer""
",1
"""All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances""
",1
"""We also consider qualified applicants with criminal histories, consistent with applicable federal, state, and local law""
",1
"""We are committed to the accessibility needs of applicants and employees""
",1
"""We provide reasonable accommodations to job applicants with physical or mental disabilities""
",1
"""Applicants with a disability who require a reasonable accommodation for any part of the application or hiring process should inform their recruiting contact upon initial connection""
",1
"""We are looking for a capable and experienced Software Engineer to join our R&D team""
",1
"""The Engineer will be part of the Software group that is in charge of implementing autonomous driving software""
",1
"""This is a great opportunity to work on a cutting-edge technology, develop and innovate new ideas, and see them deployed on the road in our autonomous vehicles""
",1
"""Implement, optimize and integrate software for the end systems that control the vehicle: (e""
",1
"""Integrate/convert deep neural networks models into the software product from python into C++/TensorRT/OpenVX""
",1
"""in Computer Science or other relevant engineering field""
",1
"""3+ years of experience in C++ and CMake""
",1
"""3+ years of experience in multi-threading, OOP (Object Oriented Programing)""
",1
"""Skills that are considered an advantage:""
",1
"""It's fun to work in a company where people truly BELIEVE in what they're doing!""
",1
"""We're committed to bringing passion and customer focus to the business""
",1
"""At Proofpoint, we have a passion for protecting people, data, and brands from today’s advanced threats and compliance risks""
",1
"""We are singularly devoted to helping our customers protect what matters most""
",1
"""That’s why we’re a leader in next-generation cybersecurity—and why more than half of the Fortune 100 trust us as a security partner""
",1
"""We are looking for people to join our team in the new site in Tel Aviv, people with a winning spirit, with passion for technology and with great will to deliver products for our customers""
",1
"""We’re looking for a highly effective, all-around Software Developer to design and deliver scalable, resilient systems""
",2
"""As a member of our team, you will play a key role in building a large-scale SaaS using cutting-edge technologies of various disciplines""
",1
"""You’ll take part in design development and deployment of multiple aspects of the service from REST APIs and highly-available management systems, through the scalable distributed system, to intelligent network data-path processing, using the latest open source software and technologies""
",2
"""You will be a part of a very experienced team of successful startup veterans""
",1
"""What You Bring To The Team""
",1
"""3+ years in hands-on software development of complex back-end systems""
",1
"""BSc degree in Computer Science or a similar field, or equivalent practical experience""
",1
"""Python experience – a plus""
",1
"""Cloud (and specifically AWS) experience – a plus""
",1
"""Understanding of network technologies IP protocols (TCP/UDP/ICMP), IP tunneling, IP filtering – a plus""
",1
"""Linux Experience – a plus""
",1
"""If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!""
",1
"""We’re looking for a brilliant, curious, creative, and fun-loving Senior Full-Stack with a passion for data that’s ready to take on a huge opportunity to build both April’s customer-facing platform and 1st of its kind analyst “coding” platform!""
",1
"""If you’re all that and looking to lead, invent, and grow professionally you should definitely consider applying to join us on our journey!""
",1
"""Lead the design and development of April’s analyst tooling experience""
",1
"""Be Part of our core engineering and leadership team""
",1
"""Build a cloud-native application with a modern microservices architecture""
",1
"""Mentor, and grow the team, our practices, and our technology stack""
",1
"""Work closely with the product & UX to define the company roadmap and execute the development plans""
",1
"""Design system architectures, select/evaluate tools, and open source projects to use within our architecture""
",1
"""6+ years of software engineering experience building production-level web applications in large-scale products""
",1
"""6+ years of experience with modern full-stack frameworks React/Angular/vie or equivalent programming language, developing high-scale applications""
",1
"""6+ years of experience building reactive web & mobile-web frontends using TypeScript/JavaScript or equivalent""
",1
"""Experience with Python microservices or similar (Go / Node""
",1
"""Passion for clean code and agile work""
",1
"""Experience in working with analysts or developing complex tools for semi-technical users""
",1
"""Strong architecture skills – ability to design for scale, and velocity, robustness, and readability of end-to-end data-driven solutions""
",1
"""Experience with modern cloud environments (GCP, AWS)""
",1
"""Passion for data, customer experience, and building high-quality software!""
",1
"""Excellent communication and a great team member""
",2
"""Work daily with our product, users, and the rest of the engineering team to make things work""
",1
"""Advantage - experience with micro-frontends""
",1
"""Advantage - experience with gRPC / protobuf""
",1
"""April believes that every taxpayer should have a best-in-class tax experience, regardless of their background, income bracket, or what they can afford to pay""
",1
"""We build products to improve their financial wellbeing, reduce anxiety around taxes, and provide tools that put their taxes to work for them""
",1
"""For financial institutions, April is a first-of-its-kind tax experience that is completely frictionless and integrated with the financial services ecosystem""
",1
"""Unlike other DIY tax solutions, we leverage and reinforce their relationship with their members, driving mutual value, savings and new offerings""
",1
"""For developers, April provides simple and robust APIs for them to leverage every aspect of the US tax code, and perform calculations and AI-based simulations for creating new experiences within their application or platform""
",1
"""EX LIBRIS– Who are we?""
",1
"""Ex Libris, Part of Clarivate, is a global EdTech (Education Technology) industry leader""
",1
"""We serve some of the most prestigious academic institutions and research Universities around the world, with a total of over 7,500 customers in 90 countries""
",1
"""Our SaaS solutions help universities transform academic libraries, maximize the impact of research activities, enhance teaching and learning, and drive student engagement and success""
",1
"""For more information about Ex Libris, see our website, and join us on Facebook, YouTube, LinkedIn, and Twitter""
",1
"""We are looking for a Software Engineer to join our new team in Israel""
",1
"""This is an amazing opportunity to work on a cloud-based (SaaS) next-generation of library automation (Alma) using cutting-edge technologies""
",1
"""The team consists of 2 members and is reporting to the Team Leader""
",1
"""We have a great skill set in delivering large, successful end-2-end projects and we would love to speak with you if you have strong skills in Front End & Back End Server""
",1
"""About You – Experience, Education, Skills, And Accomplishments""
",1
"""in Computer Sciences or Software Engineering""
",1
"""Strong OOP and design patterns""
",1
"""Experience with relational databases (Oracle or MS SQL Server), and SQL""
",1
"""High level of English – both written and spoken""
",1
"""It would be great if you also had""
",1
